# t,tx,ty,tz,rx,ry,rz
1.763579367320531368e+09,9.442874516700990040e-02,2.168350875357742402e-01,1.253750477898962545e+00,2.378028501773197245e+00,-1.901548797574047045e+00,1.682296426353668273e-01
1.763579367370966673e+09,9.042411810036043995e-02,2.241577582318922679e-01,1.238181242003918436e+00,2.399128858973804235e+00,-1.890594817419583018e+00,1.837408258190936783e-01
1.763579367421078205e+09,1.013124501092803609e-01,2.306588772479268301e-01,1.224195107467231924e+00,2.399524989552938692e+00,-1.897910631284839056e+00,1.897265877729152894e-01
1.763579367470889568e+09,1.092210048388605470e-01,2.206551663701528387e-01,1.211815879800266282e+00,2.411314791657539480e+00,-1.908365376724904694e+00,1.937852153858533599e-01
1.763579367520624876e+09,1.203404184796196957e-01,2.097946257278705817e-01,1.200455619035697419e+00,2.422283096952579040e+00,-1.916152764024787514e+00,1.927175066325980679e-01
1.763579367570589066e+09,1.262878350995334242e-01,2.047583887290515547e-01,1.189219343731408696e+00,2.426759840139836033e+00,-1.926916981519560590e+00,1.922960781185237000e-01
1.763579367620464325e+09,1.314279107963023385e-01,1.939951161490255926e-01,1.179655473817560640e+00,2.425884855712384880e+00,-1.936948420542972560e+00,1.864775214761467403e-01
1.763579367670187235e+09,1.343797378980219337e-01,1.680231244207388841e-01,1.170185208138236677e+00,2.419114781906285039e+00,-1.947483553137930867e+00,1.591360050297591366e-01
1.763579367720063210e+09,1.124701396811095960e-01,1.512399118224910799e-01,1.161023657204141912e+00,2.397135744190962647e+00,-1.964316646952893208e+00,1.454320483964328392e-01
1.763579367770251274e+09,9.739004340666367054e-02,1.148554393106255428e-01,1.150138259854437406e+00,2.381101233183696930e+00,-1.979312441821802215e+00,9.894578292731905089e-02
1.763579367820380211e+09,5.072559036757232770e-02,9.928305825884453650e-02,1.144957170559006920e+00,2.367725446799652911e+00,-1.981849983779088609e+00,9.707752160193422464e-02
1.763579367870351076e+09,3.097720231372943361e-03,6.163604374808142466e-02,1.137092839170597225e+00,2.367947686362521065e+00,-1.985926905610631010e+00,8.010120972415024632e-02
1.763579367920300245e+09,-4.501234776602014431e-02,1.411193668754967198e-02,1.125694216288297689e+00,2.376211124006009090e+00,-1.994636817466586054e+00,6.093475079348147777e-02
1.763579367970771313e+09,-9.069437014017589505e-02,-3.058901553893475945e-03,1.118936903022573315e+00,2.371852779072827655e+00,-2.000410631826514685e+00,6.728653813766083402e-02
1.763579368020950317e+09,-1.244925613233751616e-01,-1.285337439098182578e-02,1.109073999776508446e+00,2.370733363043199038e+00,-2.010078867283424664e+00,6.576655878766837771e-02
1.763579368070759535e+09,-1.505691769143402969e-01,-7.910042394309695080e-03,1.099270428353774420e+00,2.369597683113941144e+00,-2.020407661687800172e+00,6.669345035611526362e-02
1.763579368120373964e+09,-1.678392980596960515e-01,2.682622805852120235e-03,1.088837336170437098e+00,2.370593050416721859e+00,-2.032131074379538660e+00,6.700575302198930050e-02
1.763579368170202971e+09,-1.795764703392790096e-01,2.207789176334248177e-02,1.079004562882646123e+00,2.366993954773190190e+00,-2.047153907528397543e+00,6.879878325070294676e-02
1.763579368220208406e+09,-1.874313466445638177e-01,4.027649745284519328e-02,1.068748738644873519e+00,2.365721348872928953e+00,-2.063864481109259241e+00,6.812658091342209399e-02
1.763579368270441771e+09,-1.901923711434094777e-01,5.530442988557705830e-02,1.059342399707861260e+00,2.354293622586311585e+00,-2.066793803709088273e+00,6.357447125812133726e-02
1.763579368320573807e+09,-1.916407808764882537e-01,6.983509297920763303e-02,1.051428038678956733e+00,2.344036809316209169e+00,-2.064779632541509091e+00,6.004353241233349042e-02
1.763579368370497942e+09,-1.901170249975767113e-01,7.788094533903187899e-02,1.044178339184665072e+00,2.336743671655690413e+00,-2.057082314613087881e+00,5.204518791729932647e-02
1.763579368420432806e+09,-1.853324503168289061e-01,8.479820036131072158e-02,1.038701260529387715e+00,2.333288284211672003e+00,-2.047515147258951451e+00,4.529847366815703547e-02
1.763579368470266104e+09,-1.814124730682365461e-01,8.655044775172802962e-02,1.033989838383154281e+00,2.327265530390714154e+00,-2.041279507945466865e+00,3.788616652829603082e-02
1.763579368520196676e+09,-1.764282523653286638e-01,8.417567116469092114e-02,1.030411422464448723e+00,2.321701455843330208e+00,-2.037525243153794907e+00,2.670419226519441663e-02
