# t,tx,ty,tz,rx,ry,rz
1.763579365444480658e+09,2.708487323754750209e-01,-4.040849410186109769e-01,1.783205010293707149e+00,1.850246542755451973e+00,-2.445437670038277833e+00,-2.347790045645024512e-02
1.763579365458169460e+09,2.676360441539651913e-01,-4.104371462587929065e-01,1.777804374822366640e+00,1.851712924689382422e+00,-2.442938636737259195e+00,-2.392728543943808614e-02
1.763579365471858501e+09,2.648912448193375124e-01,-4.167091613077816281e-01,1.772697782836790470e+00,1.853365105485158093e+00,-2.440328233236382705e+00,-2.402053608205897625e-02
1.763579365485547304e+09,2.627163062512670733e-01,-4.227343598249004852e-01,1.767919023370954301e+00,1.855233751834154399e+00,-2.437631081314449499e+00,-2.372358534062968954e-02
1.763579365499236107e+09,2.613151929059100986e-01,-4.282160987674081820e-01,1.763429446273939716e+00,1.857414627055908651e+00,-2.434964118189059334e+00,-2.308935048992257974e-02
1.763579365512925148e+09,2.609244092214313970e-01,-4.328177976604390409e-01,1.759170522495406619e+00,1.860023440003086836e+00,-2.432472081047072798e+00,-2.219553800125977083e-02
1.763579365526613951e+09,2.617620364207668970e-01,-4.362234008703637089e-01,1.755086820926131219e+00,1.863166512086536386e+00,-2.430288667342671793e+00,-2.111738501286605438e-02
1.763579365540302992e+09,2.638300624788649795e-01,-4.383731191426756268e-01,1.751126216537359559e+00,1.866848845842646210e+00,-2.428434481397665490e+00,-1.997807445037889928e-02
1.763579365553991795e+09,2.668518062003479852e-01,-4.395322981671115903e-01,1.747241702711528566e+00,1.870944428365608481e+00,-2.426784225958494634e+00,-1.895349207903000016e-02
1.763579365567680597e+09,2.705572214226112937e-01,-4.399623865931612254e-01,1.743387648689201930e+00,1.875329993875901158e+00,-2.425215244765975164e+00,-1.822219605123766642e-02
1.763579365581369638e+09,2.746348936646035299e-01,-4.399402921608591144e-01,1.739499921730587984e+00,1.879868407070044212e+00,-2.423591724284163806e+00,-1.794037298435750480e-02
1.763579365595058441e+09,2.786119594488510320e-01,-4.397427071714927749e-01,1.735405890380870009e+00,1.884378728302178008e+00,-2.421743111150844729e+00,-1.812340689985001557e-02
1.763579365608747482e+09,2.819307626501161845e-01,-4.396529690111253830e-01,1.730879494182338441e+00,1.888656279292614260e+00,-2.419478853612159863e+00,-1.871723840543592504e-02
1.763579365622436285e+09,2.840332079632794660e-01,-4.399551003547000905e-01,1.725694972140533023e+00,1.892495651660890177e+00,-2.416607501073220643e+00,-1.967112506020397486e-02
1.763579365636125088e+09,2.846425968493081493e-01,-4.407715334045989586e-01,1.719773083836457550e+00,1.895818951525158669e+00,-2.413078032388593641e+00,-2.090206466835934848e-02
1.763579365649814129e+09,2.841566787977913289e-01,-4.418303456441952104e-01,1.713391269303915943e+00,1.898856889533817816e+00,-2.409176699413010159e+00,-2.224810733429594817e-02
1.763579365663502932e+09,2.830762866999684269e-01,-4.428081871333445219e-01,1.706876717764153728e+00,1.901882837026051654e+00,-2.405239809887392610e+00,-2.354202313104434077e-02
1.763579365677191973e+09,2.819057861098797080e-01,-4.433737171145337164e-01,1.700561434927713389e+00,1.905174916452690326e+00,-2.401606270231750440e+00,-2.461154524885560482e-02
1.763579365690880775e+09,2.809329574003561203e-01,-4.435106630569254915e-01,1.694556301860619785e+00,1.908819731301033107e+00,-2.398468156107543159e+00,-2.546164074216605497e-02
1.763579365704569578e+09,2.802399437418977013e-01,-4.434949970587961920e-01,1.688765329094334522e+00,1.912725694095236850e+00,-2.395878294045607593e+00,-2.626049614999655807e-02
1.763579365718258619e+09,2.798957315440339655e-01,-4.436292833352699083e-01,1.683074992399599790e+00,1.916786447454623010e+00,-2.393880405809275747e+00,-2.719241718423532836e-02
1.763579365731947422e+09,2.799264302420490513e-01,-4.441883493647796333e-01,1.677380645543707693e+00,1.920891624793856556e+00,-2.392498458946294981e+00,-2.840981026805988394e-02
1.763579365745636225e+09,2.800790550071757812e-01,-4.453520925121770002e-01,1.671587243175168158e+00,1.924870644460018765e+00,-2.391629647302888628e+00,-2.991688245451244385e-02
1.763579365759325266e+09,2.799722855179410108e-01,-4.472323987568137538e-01,1.665616589017028248e+00,1.928535651317267119e+00,-2.391109206833421208e+00,-3.163420136720747344e-02
1.763579365773014069e+09,2.792185703783753303e-01,-4.499655114966775726e-01,1.659377967294232814e+00,1.931685628612423988e+00,-2.390774985857801571e+00,-3.349520743912333398e-02
1.763579365786703110e+09,2.775479658516438741e-01,-4.535637761874071194e-01,1.652855564631517948e+00,1.934217024569221399e+00,-2.390481334762242227e+00,-3.539727968503867533e-02
1.763579365800391912e+09,2.749244473214572104e-01,-4.578242692089798949e-01,1.646168184909463594e+00,1.936205135972631108e+00,-2.390122394512760984e+00,-3.718515640988565712e-02
1.763579365814080715e+09,2.713691489712858340e-01,-4.624858724072993255e-01,1.639470003721934743e+00,1.937772206907073302e+00,-2.389600146562360639e+00,-3.868727177468887085e-02
1.763579365827769756e+09,2.669081758128181159e-01,-4.673014114008212094e-01,1.632904680100981443e+00,1.939035125360722089e+00,-2.388820069268493551e+00,-3.974614228316377534e-02
1.763579365841458559e+09,2.618696711164780200e-01,-4.720487261576427063e-01,1.626561884710304939e+00,1.940203865371821212e+00,-2.387757184704813351e+00,-4.039342894698436104e-02
1.763579365855147600e+09,2.568777139786024288e-01,-4.765426512433077466e-01,1.620468450426988616e+00,1.941571617681942197e+00,-2.386460037409701584e+00,-4.085666468484311364e-02
1.763579365868836403e+09,2.525682767294772368e-01,-4.805960036493479026e-01,1.614652185319384703e+00,1.943439055268356475e+00,-2.384975592990985493e+00,-4.136786358042367218e-02
1.763579365882525206e+09,2.494605482012867692e-01,-4.840166878193145061e-01,1.609153384906052198e+00,1.946050840649901303e+00,-2.383350801035412747e+00,-4.209363680729405477e-02
1.763579365896214247e+09,2.475162930415642226e-01,-4.865792528663997474e-01,1.604082767301613366e+00,1.949398542422847713e+00,-2.381615823792620379e+00,-4.287834125850455841e-02
1.763579365909903049e+09,2.464547952091793448e-01,-4.880448385650420495e-01,1.599580680520857223e+00,1.953361762010062064e+00,-2.379795286232580409e+00,-4.342735940019362001e-02
1.763579365923592091e+09,2.460139419283188522e-01,-4.881751280613028654e-01,1.595785334353813756e+00,1.957829367357638128e+00,-2.377913794626668409e+00,-4.345625959188346293e-02
1.763579365937280893e+09,2.459583768638717027e-01,-4.868863970008157072e-01,1.592690876303513914e+00,1.962657005500906493e+00,-2.375975569977690771e+00,-4.284898364671325260e-02
1.763579365950969696e+09,2.461323058031872069e-01,-4.844076530256970492e-01,1.589994966404030485e+00,1.967644952437534123e+00,-2.373943677842595967e+00,-4.184434017267470163e-02
1.763579365964658737e+09,2.463827647118036757e-01,-4.809995813421876765e-01,1.587368855850289862e+00,1.972587272467825725e+00,-2.371776715932408131e+00,-4.071303319974319684e-02
1.763579365978347540e+09,2.465565969576590244e-01,-4.769239971668087219e-01,1.584485161633047090e+00,1.977278677106133253e+00,-2.369433279841369977e+00,-3.972567696691383515e-02
1.763579365992036581e+09,2.463758868533362512e-01,-4.723270705810645453e-01,1.581247785252542171e+00,1.981558566863276694e+00,-2.366879315401282824e+00,-3.892233172285950588e-02
1.763579366005725384e+09,2.454713500745749344e-01,-4.672676513382330588e-01,1.577737476224101432e+00,1.985302006095680305e+00,-2.364087513615443559e+00,-3.816880376512215428e-02
1.763579366019414186e+09,2.434614053008511969e-01,-4.618011651896952174e-01,1.574043094513063235e+00,1.988382043888251127e+00,-2.361028625016117211e+00,-3.732024570268827751e-02
1.763579366033103228e+09,2.400799830963908088e-01,-4.559645117226896471e-01,1.570254122254683304e+00,1.990726004751899758e+00,-2.357708644505170703e+00,-3.627166820314276646e-02
1.763579366046792030e+09,2.355095529465686399e-01,-4.497065539303006787e-01,1.566483013228417542e+00,1.992478350915801499e+00,-2.354278638092011988e+00,-3.506069103467021608e-02
1.763579366060481071e+09,2.300985271860333248e-01,-4.429533315445309816e-01,1.562839224033157892e+00,1.993861144221486636e+00,-2.350937973129833214e+00,-3.378391110889875787e-02
1.763579366074169874e+09,2.241840235951813309e-01,-4.356213557778475520e-01,1.559444589358462530e+00,1.995093980880935369e+00,-2.347888656492630677e+00,-3.252741571505513712e-02
1.763579366087858677e+09,2.180439772903450535e-01,-4.277414823375151887e-01,1.556314220333004705e+00,1.996342187451440209e+00,-2.345260434092672597e+00,-3.141255702627619023e-02
1.763579366101547718e+09,2.118481314186386744e-01,-4.195069945345533124e-01,1.553316655855794037e+00,1.997683490407380802e+00,-2.343074609381334827e+00,-3.059893370813103822e-02
1.763579366115236521e+09,2.057549207012417669e-01,-4.111418084859316813e-01,1.550291747700773382e+00,1.999183061119747862e+00,-2.341335305095349817e+00,-3.025808273996294026e-02
1.763579366128925562e+09,1.999085292526606994e-01,-4.028594177217830752e-01,1.547093458901179996e+00,2.000903263537745502e+00,-2.340043157165133891e+00,-3.054399943184512092e-02
1.763579366142614365e+09,1.943143992874939441e-01,-3.948598906966560573e-01,1.543635185199192073e+00,2.002861226995842348e+00,-2.339129489917433080e+00,-3.148757345621060882e-02
1.763579366156303167e+09,1.888593855704230884e-01,-3.873192203380058096e-01,1.539891269364935145e+00,2.005036403718541305e+00,-2.338471012287555606e+00,-3.300763339755571901e-02
1.763579366169992208e+09,1.834377838854257814e-01,-3.804229519698800188e-01,1.535825346759601251e+00,2.007411148084624841e+00,-2.337945115362393356e+00,-3.503526346531382618e-02
