#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1763579423623375360,0.455071,-0.570700,1.075372,0.584120,-0.754987,-0.245890,0.168336
1763579423673335296,0.454718,-0.568201,1.066335,0.581086,-0.756630,-0.251214,0.163529
1763579423722993920,0.452687,-0.565290,1.059129,0.576178,-0.759113,-0.260069,0.155339
1763579423922922496,0.449873,-0.552974,1.042292,0.568892,-0.757445,-0.285573,0.145211
1763579424223022336,0.449015,-0.565228,1.056020,0.565369,-0.772232,-0.266568,0.113826
1763579424423293696,0.442598,-0.570795,1.086940,0.589153,-0.762686,-0.250384,0.092290
1763579425972820224,0.479935,-0.494575,1.213488,0.813632,-0.548262,-0.183142,0.062211
1763579426223428864,0.487582,-0.485482,1.198487,0.828143,-0.526350,-0.182097,0.063049
1763579426572638208,0.498591,-0.447159,1.200151,0.840749,-0.513275,-0.156906,0.071201
1763579426923109888,0.476417,-0.315286,1.230636,0.822038,-0.544233,-0.160464,0.048107
1763579427422720256,0.463441,-0.065053,1.293260,-0.806386,0.574407,0.140378,0.009578
1763579427472862208,0.464251,-0.039665,1.294112,-0.806806,0.574588,0.136849,0.013569
1763579428972103424,0.488071,0.604365,1.241094,-0.761384,0.622322,0.006593,0.181567
1763579429272300544,0.488205,0.665215,1.189934,-0.728796,0.656431,-0.018344,0.193955
1763579429471620352,0.493535,0.715312,1.165563,-0.718956,0.659126,-0.031749,0.218285
1763579430071694848,0.481463,0.892208,1.079049,-0.648874,0.728061,-0.049697,0.215454
1763579430121725440,0.478750,0.901082,1.076036,-0.643210,0.733736,-0.051685,0.212699
1763579430171783680,0.474840,0.909030,1.074204,-0.635458,0.740999,-0.053911,0.210258
1763579430471669504,0.430207,0.914565,1.095016,-0.581845,0.777606,-0.070661,0.227579
1763579430572023296,0.415284,0.908608,1.106731,-0.567874,0.785764,-0.077673,0.232511
1763579432071749632,0.288503,0.807861,1.223688,-0.602658,0.750291,-0.089094,0.256767
1763579432171801600,0.282402,0.799050,1.226301,-0.605028,0.753401,-0.079681,0.244906
1763579432271877632,0.273193,0.786881,1.232092,-0.608298,0.754061,-0.071365,0.237219
1763579432322004480,0.268283,0.780019,1.236385,-0.610409,0.753362,-0.067723,0.235074
1763579432521658880,0.247061,0.757301,1.263562,-0.614414,0.750751,-0.062220,0.234515
1763579433372129792,0.252073,0.787695,1.539498,-0.660032,0.732450,-0.046430,0.160371
1763579433521725440,0.260905,0.759403,1.594295,-0.676727,0.721989,-0.052856,0.134086
1763579433571728384,0.259420,0.748975,1.609995,-0.684166,0.716808,-0.048699,0.125422
