#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1763579423422794496,0.500777,-0.405540,1.240062,0.575784,-0.766680,-0.232654,0.162929
1763579423472736000,0.505089,-0.402052,1.227916,0.575462,-0.765749,-0.234835,0.165299
1763579423523112448,0.508554,-0.398795,1.216305,0.574229,-0.765589,-0.237569,0.166418
1763579423573353216,0.511865,-0.395806,1.205324,0.573230,-0.765527,-0.240069,0.166561
1763579423623375360,0.513989,-0.393505,1.194717,0.572877,-0.765264,-0.242839,0.164962
1763579423673335296,0.515899,-0.391462,1.185214,0.569860,-0.766871,-0.248093,0.160058
1763579423722993920,0.517527,-0.389261,1.177120,0.564983,-0.769297,-0.256830,0.151705
1763579423922922496,0.519725,-0.380264,1.162311,0.557856,-0.767609,-0.282213,0.141172
1763579424223022336,0.524217,-0.385129,1.161002,0.554201,-0.782148,-0.262687,0.110007
1763579424423293696,0.507594,-0.381825,1.182742,0.578172,-0.772807,-0.246153,0.088858
1763579425972820224,0.407348,-0.301300,1.294036,0.805719,-0.561316,-0.178753,0.061552
1763579426223428864,0.404363,-0.296711,1.279435,0.820545,-0.539619,-0.177777,0.062546
1763579426572638208,0.405576,-0.260161,1.274263,0.833222,-0.526640,-0.152731,0.071174
1763579426923109888,0.398430,-0.119819,1.300085,0.814176,-0.557258,-0.155861,0.047839
1763579427422720256,0.397738,0.141309,1.340273,-0.798287,0.586910,0.134832,0.009716
1763579427472862208,0.398206,0.167089,1.338868,-0.798712,0.587068,0.131241,0.013653
1763579428972103424,0.439093,0.814943,1.192407,-0.752957,0.632951,-0.001563,0.180074
1763579429272300544,0.458715,0.875583,1.126784,-0.719845,0.666413,-0.026734,0.192358
1763579429471620352,0.465903,0.922123,1.090878,-0.710038,0.668818,-0.040478,0.216542
1763579430071694848,0.496863,1.096482,0.994507,-0.638872,0.736631,-0.058479,0.214006
1763579430121725440,0.497918,1.105004,0.991416,-0.633105,0.742221,-0.060434,0.211267
1763579430171783680,0.498860,1.112305,0.989263,-0.625227,0.749365,-0.062633,0.208855
1763579430471669504,0.479744,1.107409,0.997703,-0.571107,0.785037,-0.079634,0.226301
1763579430572023296,0.470922,1.097771,1.005568,-0.557016,0.792938,-0.086711,0.231221
1763579432071749632,0.320859,0.997596,1.113843,-0.592399,0.757851,-0.098436,0.255023
1763579432171801600,0.316131,0.991915,1.122485,-0.594697,0.761079,-0.088871,0.243302
1763579432271877632,0.306807,0.982179,1.132888,-0.597948,0.761852,-0.080456,0.235726
1763579432322004480,0.301206,0.976289,1.138884,-0.600071,0.761209,-0.076786,0.233623
1763579432521658880,0.277924,0.954800,1.167885,-0.604129,0.758686,-0.071277,0.233117
1763579433372129792,0.270234,0.998371,1.473180,-0.649712,0.741382,-0.054454,0.158939
1763579433521725440,0.272644,0.972584,1.534896,-0.666414,0.731225,-0.060496,0.132449
1763579433571728384,0.267675,0.963431,1.554744,-0.673902,0.726204,-0.056211,0.123795
