#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1763579366520386816,0.092877,0.926232,1.968355,-0.652570,0.720869,-0.182420,0.145681
1763579368070759424,-0.148019,0.452561,1.547286,-0.745083,0.659009,-0.067918,0.077104
1763579368370498048,-0.164088,0.361227,1.525467,-0.739686,0.672225,-0.023195,0.020979
1763579369420495872,-0.130948,0.079391,1.326106,0.757551,-0.646675,-0.027930,0.084543
1763579369470628608,-0.128125,0.069848,1.315866,0.757090,-0.647239,-0.031660,0.083025
1763579369971235072,-0.112092,-0.034077,1.225058,0.758460,-0.632593,-0.077075,0.136470
1763579370271299584,-0.093392,-0.127924,1.197478,0.750967,-0.621802,-0.118612,0.187995
1763579371071388416,-0.076638,-0.288374,1.073574,0.760210,-0.593177,-0.138405,0.225978
1763579373422606592,-0.023104,-0.491097,1.185293,0.542883,-0.763353,-0.268673,0.224467
1763579377673114880,-0.108934,-0.262148,1.956449,0.592163,-0.794736,-0.041734,0.126472
1763579378723117568,-0.116518,0.169534,1.822928,0.575996,-0.816737,0.003786,0.033998
1763579379021804032,-0.096428,0.236926,1.797055,0.581490,-0.811197,0.057805,0.022099
1763579379121769984,-0.088371,0.264416,1.792906,0.579360,-0.811472,0.075569,0.012004
1763579379520168192,-0.065781,0.460982,1.793359,-0.563217,0.816144,-0.125983,0.028709
1763579387620662784,-0.217604,0.445296,2.175003,0.854585,-0.505208,0.115518,0.033226
1763579387920120832,-0.213716,0.324314,2.217511,0.844240,-0.518954,0.112255,0.073103
1763579388470414848,-0.253018,0.147126,2.235354,0.850052,-0.513429,0.062176,0.099687
1763579389020465664,-0.296919,0.089089,2.201628,0.825309,-0.561900,0.013556,0.054314
1763579389070296064,-0.299496,0.082834,2.200004,0.821513,-0.567650,0.006280,0.053387
1763579389370530560,-0.329905,0.024365,2.198078,0.802463,-0.592900,-0.047488,0.047620
1763579395274195968,-0.146192,-1.022691,1.680786,0.648771,-0.683040,-0.171163,0.288541
1763579397122603520,-0.023129,-0.225548,1.173373,0.620788,-0.765911,-0.064424,0.154442
1763579397373336320,-0.029360,-0.148427,1.108690,0.628390,-0.760539,-0.021286,0.162029
1763579397823220480,-0.096011,-0.044068,1.026323,0.660881,-0.728740,0.011292,0.179016
1763579397922885632,-0.121548,-0.021839,1.011112,0.667001,-0.723238,0.013878,0.178447
1763579398623459328,-0.254015,0.161925,0.943968,0.679505,-0.720593,0.081214,0.111457
1763579398723542528,-0.276485,0.190253,0.934844,0.683351,-0.717162,0.100715,0.092557
1763579398822225664,-0.289821,0.220468,0.929755,0.682713,-0.717949,0.107808,0.082641
1763579398923149568,-0.292851,0.252615,0.925613,0.683723,-0.716427,0.110544,0.083881
1763579399023665920,-0.293966,0.277749,0.916379,0.686307,-0.712208,0.117864,0.088603
1763579399073176832,-0.293544,0.287085,0.910643,0.685009,-0.712964,0.120083,0.089579
1763579399122724864,-0.292864,0.294689,0.904421,0.682991,-0.714957,0.119940,0.089302
1763579399222874112,-0.291844,0.307429,0.890529,0.680041,-0.718499,0.117535,0.086539
1763579399372942848,-0.290808,0.321863,0.874182,0.680495,-0.719045,0.116565,0.079459
1763579399423163392,-0.291815,0.326426,0.869586,0.684092,-0.715804,0.118620,0.074650
1763579399523037184,-0.293334,0.337713,0.864576,0.687721,-0.713317,0.119534,0.062693
1763579399573027072,-0.292576,0.343868,0.863036,0.688840,-0.712332,0.123006,0.054326
1763579399622908160,-0.291149,0.351255,0.861324,0.689205,-0.711323,0.130203,0.045415
1763579399672865536,-0.288939,0.359464,0.859913,0.689052,-0.710172,0.139753,0.036510
1763579399723132928,-0.285383,0.368135,0.859604,0.686234,-0.711013,0.150747,0.028618
1763579399773246208,-0.279626,0.378309,0.861791,0.682306,-0.712764,0.161193,0.021060
1763579399823294464,-0.275374,0.389714,0.863520,0.681596,-0.711247,0.171374,0.013628
1763579399873100288,-0.271779,0.401946,0.865273,0.682657,-0.708289,0.179610,0.006849
1763579399922805248,-0.268061,0.414382,0.866995,-0.682684,0.706606,-0.186145,-0.000757
1763579399972898048,-0.263991,0.425969,0.869547,-0.680588,0.707074,-0.191898,0.004517
1763579400022946048,-0.258705,0.437593,0.873107,-0.676964,0.709128,-0.196908,0.009149
1763579400072872704,-0.254190,0.449719,0.877241,-0.675009,0.709688,-0.201406,0.011889
1763579400223305728,-0.241054,0.483884,0.895314,-0.672710,0.707207,-0.217250,0.011012
1763579400474067968,-0.229398,0.538083,0.943323,-0.670610,0.706977,-0.224565,0.006050
1763579400573373184,-0.225293,0.560846,0.966223,-0.669860,0.707130,-0.226387,0.002022
1763579401073360384,-0.242361,0.687481,1.046468,-0.657937,0.710956,-0.244302,0.044458
1763579401823464192,-0.260917,0.828328,1.194987,-0.665502,0.701327,-0.251488,0.044728
1763579402123271168,-0.296323,0.862544,1.245536,-0.697577,0.662083,-0.261619,0.081167
1763579402223189248,-0.313186,0.875512,1.257226,-0.707015,0.649314,-0.263847,0.094371
1763579402722946304,-0.360851,0.948334,1.318501,-0.765757,0.574233,-0.268324,0.108975
1763579403523202048,-0.424127,0.999026,1.510129,-0.764588,0.583178,-0.245789,0.122055
1763579410071093760,0.076595,0.999207,2.688896,0.681661,-0.719782,0.130253,0.016935
1763579410570402560,0.116958,1.003021,2.747670,0.691265,-0.704858,0.154366,0.038723
1763579411220084736,0.132701,0.985775,2.747408,0.692692,-0.707634,0.135166,0.034099
1763579421122610176,0.495099,-0.871172,1.948637,0.581968,-0.759628,-0.251704,0.144651
1763579422273147904,0.513447,-0.673925,1.515206,0.566906,-0.779378,-0.234353,0.127536
1763579422823047424,0.479123,-0.474753,1.404001,0.570222,-0.753523,-0.271529,0.182542
1763579422873030144,0.476145,-0.463268,1.393198,0.575248,-0.751642,-0.263404,0.186395
1763579423023355904,0.475749,-0.440969,1.355550,0.571654,-0.761365,-0.244404,0.183853
